trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",20,0,-164.69045212997537,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.7744}",30,4,-171.65129098578257,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.681472}",30,10,-30.771127581739186,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.59969536}",25,0,-123.79871691970706,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5277319168}",25,10,-40.843666467580164,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",25,0,-196.73834188674493,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",25,0,-25.981090339056852,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",30,0,-14.553187276723234,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.316478381828866}",25,0,-33.23222840792936,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",25,0,-72.06418787442783,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",25,18,-12.402575168217748,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.215671155821681}",20,0,-7.35761084035448,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",20,8,7.554198914611093,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",20,11,16.708275259712032,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",30,15,-93.19411774438677,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",30,3,36.47954549153704,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",25,0,-12.337104621555245,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",30,19,18.70738598826712,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",25,14,-0.765358860947275,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",20,0,19.991113286701673,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.06825525840160684}",35,24,7.0284354885729865,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.060064627393414026}",20,9,19.699679914291806,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.05285687210620434}",20,10,-20.977065997191648,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.04651404745345982}",35,19,28.8620221599002,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.04093236175904464}",20,0,13.382248810163818,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.03602047834795928}",20,0,4.4512245014696665,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.03169802094620417}",25,11,22.998366553112348,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.02789425843265967}",25,0,26.772984860992295,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.02454694742074051}",20,0,14.744155550234565,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.02160131373025165}",25,15,19.073259983810754,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.019009156082621454}",25,9,26.449726538806285,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.01672805735270688}",30,14,24.10292397923924,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.014720690470382053}",25,11,25.68982432336384,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.012954207613936206}",20,0,12.972834753226778,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.011399702700263862}",25,14,18.785475656220388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.010031738376232198}",25,5,22.1367673970668,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.008827929771084335}",20,1,7.5324307580432786,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.007768578198554215}",20,4,23.182876625920738,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.006836348814727709}",20,0,18.45368185097133,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.006015986956960383}",25,11,26.921874823150887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.005294068522125137}",30,0,32.29084746454678,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.004658780299470121}",25,16,15.685265315799455,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.004099726663533707}",20,3,-15.20884959645879,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.003607759463909662}",20,5,24.78458326760506,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.0031748283282405023}",20,2,5.99732607836429,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.002793848928851642}",20,13,12.250632913246474,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.002458587057389445}",25,0,30.821683000588852,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.002163556610502712}",20,13,13.973533316622804,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.0019039298172423863}",20,15,8.0067450299184,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.0016754582391733}",30,6,-6.133611410250839,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.001474403250472504}",25,5,30.032093254405726,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.0012974748604158036}",25,12,21.723956180891882,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.001141777877165907}",25,13,23.035544889109183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.0010047645319059982}",30,10,-11.339684291321664,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.0008841927880772785}",20,15,9.238613003144742,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,16,27.43649520921025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,6,32.57325834176415,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,12,13.25712078517098,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,15,16.917610069293442,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,7,22.40962762561379,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,0,35.837571684121805,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,16,23.149242461907228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,13,21.232136077402952,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,11,13.757465630170131,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,19,29.29469291524666,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
