trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.46477590402913,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.15990204847915,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-41.07856642759027,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.23935327635803,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-41.1553869382392,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.96221070306235,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.93458177555242,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.292806852582935,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.51245939690339,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.85261481955634,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.75703706779606,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.430813916233205,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-57.237851062980106,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-45.95672077205563,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.26176351976307,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.235847616214265,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-63.104335651298136,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.41991544052589,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.664291922024,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.94754064451553,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-63.75373320934525,"{0: 19, 1: 16, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-27.48761114642268,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-49.42434339256181,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.60480701486744,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-48.1220246024776,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-41.32194879840565,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-73.83846381248216,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-34.15019760201284,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-48.2034188118156,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-45.854951016782735,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
